id,name,Lat,Long,Total Docks,historic_id,loc_id
M32047,Sidney Research Campus/Erie Street at Waverly,42.35775309,-71.10393405,19,184,4235775371103934
M32053,One Memorial Drive,42.36161932,-71.08043551,19,228,4236161971080436
M32003,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,23,72,4236224271083111
M32042,MIT Vassar St,42.35560121,-71.10394478,53,179,4235560171103945
M32005,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,35,80,4236213171091156
M32041,MIT Pacific St at Purrington St,42.3595732,-71.10129476,19,178,4235957371101295
M32006,MIT at Mass Ave / Amherst St,42.3581,-71.093198,31,67,4235810071093198
M32004,Kendall T,42.36242784,-71.08495474,23,189,4236242871084955
M32032,Kendall Street,42.36356016,-71.08216792,15,141,4236356071082168
M32037,Ames St at Main St,42.3625,-71.08822,19,107,4236250071088220
